秒,时间范围,人物状态,人物位置与裁切,背景或主信息,动画与特效,口播/功能判断
33,00:33.000-00:33.999,P0转金币场,人物仍全屏,"33.83起紫色实景叠加金币和金色爆闪",金币从多方向冲入；前景大币虚化,把含金量视觉化
34,00:34.000-00:34.999,P0+金币雨,真人在中央可见,前中后景多层金币,粒子旋转/缩放/景深模糊；画面最热闹,价值峰值
35,00:35.000-00:35.999,P0转单字卡,"35.36前真人+金币；之后人物消失",黑底+金币残影+单字值,"35.36切黑场；值字放大并由白向奶黄变化，带残影/柔光",一词一镜标点
36,00:36.000-00:36.999,单字卡转P0,"36.33硬切回全屏真人",黑场值结束并回紫色工作室,硬切而非溶解,继续讲述
37,00:37.000-00:37.999,P0全屏真人,中近景居中,紫色工作室实景,仅字幕,CTA前解释
38,00:38.000-00:38.999,P0全屏真人,同上,紫色工作室实景,稳定镜头,CTA前解释
39,00:39.000-00:39.999,P0全屏真人,同上,紫色工作室实景,手指上举配合字幕,点赞收藏关注
40,00:40.000-00:40.999,P0全屏真人,同上,紫色工作室实景,双手打开后收回,CTA延续
41,00:41.000-00:41.999,P0全屏真人,同上,紫色工作室实景,挥手/拍手姿态准备转场,说上课
42,00:42.000-00:42.999,P0转黑场标题,"42.56前真人；之后人物消失",黑底白色斜体Let's Go,"42.56硬切；字带柔光和水平/缩放模糊",进入课程
43,00:43.000-00:43.999,无人物,无人物,黑底Let's Go,主字后方/上方出现纵向重复轮廓残影形成回声,标题卡高潮
44,00:44.000-00:45.093,标题卡转P0,"44.60硬切回全屏真人",黑场结束并回紫色工作室,"44.60开始下一段那在开始之前；说明录屏跨到后续内容",开头样本结束
